event,timestamp_ns
pattern_start,1756725071704272000
fixation_start,1756725072174762000
fixation_end,1756725074175942000
fixation_start,1756725074636225000
fixation_end,1756725076637428000
fixation_start,1756725077096388000
fixation_end,1756725079097553000
fixation_start,1756725079569348000
fixation_end,1756725081570605000
fixation_start,1756725082032314000
fixation_end,1756725084033506000
fixation_start,1756725084492388000
fixation_end,1756725086493586000
fixation_start,1756725086957039000
fixation_end,1756725088958205000
fixation_start,1756725089414322000
fixation_end,1756725091415507000
fixation_start,1756725091876227000
fixation_end,1756725093877439000
fixation_start,1756725094338523000
fixation_end,1756725096339789000
pattern_end,1756725098341082000
